Date,Time,Open,High,Low,Close,Volume
2018.11.14,20:00,1208.38,1214.78,1206.99,1213.65,13456
2018.11.14,21:00,1213.73,1216.52,1209.71,1211.47,14741
2018.11.14,22:00,1211.48,1212.72,1210.58,1211.91,7701
2018.11.14,23:00,1211.85,1212.03,1210.35,1210.65,3357
2018.11.15,01:00,1210.84,1211.06,1210.18,1210.94,2519
2018.11.15,02:00,1210.94,1211.86,1209.3,1210.61,5738
2018.11.15,03:00,1210.6,1210.62,1208.25,1208.7,6026
2018.11.15,04:00,1208.69,1210.59,1208.62,1210.16,4895
2018.11.15,05:00,1210.15,1210.91,1209.43,1210.64,3699
2018.11.15,06:00,1210.63,1212.16,1210.36,1212.05,3390
2018.11.15,07:00,1212.07,1212.14,1211.17,1211.44,3236
2018.11.15,08:00,1211.41,1213.65,1211.4,1213.55,5069
2018.11.15,09:00,1213.53,1213.61,1211.78,1211.96,7785
2018.11.15,10:00,1211.95,1214.88,1211.44,1213.47,9729
2018.11.15,11:00,1213.46,1216.42,1210.6,1210.64,11014
2018.11.15,12:00,1210.61,1211.23,1209.09,1210.87,10176
2018.11.15,13:00,1210.85,1211.42,1209.6,1210.32,7970
2018.11.15,14:00,1210.32,1210.6,1208.65,1210.34,8260
2018.11.15,15:00,1210.33,1213.55,1207.91,1213.08,12994
2018.11.15,16:00,1213.1,1215.86,1211.95,1212.05,15093
2018.11.15,17:00,1212.04,1215.64,1211.75,1213.38,12729
2018.11.15,18:00,1213.37,1214.25,1211.78,1213.73,11248
2018.11.15,19:00,1213.7,1214.54,1212.12,1213.15,9760
2018.11.15,20:00,1213.11,1215.16,1212.05,1212.05,10058
2018.11.15,21:00,1212.06,1215.07,1211.37,1214.39,8627
2018.11.15,22:00,1214.41,1214.47,1212.9,1213.27,7439
2018.11.15,23:00,1213.24,1213.59,1212.65,1213.08,2444
2018.11.16,01:00,1213.6,1214.35,1213.11,1213.94,1825
2018.11.16,02:00,1213.94,1214.63,1213.81,1214.46,3615
2018.11.16,03:00,1214.45,1216.75,1214.09,1215.52,5650
2018.11.16,04:00,1215.52,1215.74,1214.07,1214.62,4561
2018.11.16,05:00,1214.63,1215.03,1213.91,1214.87,3451
2018.11.16,06:00,1214.87,1215.43,1214.45,1215.39,2279
2018.11.16,07:00,1215.39,1215.82,1214.43,1214.77,3785
2018.11.16,08:00,1214.79,1215.61,1214.54,1215.44,3870
2018.11.16,09:00,1215.43,1215.99,1214.1,1214.97,6308
2018.11.16,10:00,1214.99,1218.28,1214.79,1215.45,10475
2018.11.16,11:00,1215.44,1216.95,1215.26,1216.04,7610
2018.11.16,12:00,1216.06,1216.65,1215.16,1216.51,5637
2018.11.16,13:00,1216.58,1217.11,1215.51,1216.3,5128
2018.11.16,14:00,1216.31,1216.93,1215.52,1215.69,5656
2018.11.16,15:00,1215.65,1224.04,1215.51,1223.1,14802
2018.11.16,16:00,1223.09,1225.28,1222.41,1223.01,15828
2018.11.16,17:00,1223.05,1223.66,1219.86,1220.75,12017
2018.11.16,18:00,1220.77,1221.89,1220.49,1220.71,9332
2018.11.16,19:00,1220.7,1223.5,1220.51,1223.34,10052
2018.11.16,20:00,1223.36,1223.58,1221.49,1221.78,7447
2018.11.16,21:00,1221.77,1222.34,1220.87,1221.47,4949
2018.11.16,22:00,1221.46,1222.19,1221.24,1221.9,3775
2018.11.16,23:00,1221.88,1222.03,1221.07,1221.43,1326
2018.11.19,01:00,1221.87,1222.68,1221.54,1222.49,2662
2018.11.19,02:00,1222.49,1223.08,1221.95,1222.61,3697
2018.11.19,03:00,1222.62,1223.57,1221.94,1222.15,4972
2018.11.19,04:00,1222.13,1222.27,1221.22,1221.3,2894
2018.11.19,05:00,1221.32,1221.71,1220.37,1220.5,3481
